document-count,cited-by-count,h-index,coauthor-count,surname,given-name,faculty,department,gender
25,75,5,10,Tse,Savio S.H.,FICT,DCS,male
43,231,8,50,Liew,Soung Yue,FICT,DCCT,male
44,170,7,38,Lau,Phooi Yee,FICT,DCCT,female
26,464,8,40,Ng,Hui Fuang,FICT,DCS,male
27,563,13,33,Tan,Hung Khoon,FICT,DCS,male
24,74,4,30,Ooi,Boonyaik,FICT,DCS,male
8,53,2,12,Wong,Chee Siang,FICT,DCS,male
15,17,3,18,Ponnusamy,Vasaki,FICT,DCCT,female
6,51,3,5,Tou,Jingyi,FICT,DCS,male
15,26,4,20,Isawasan,Pradeep,FICT,DCS,male
6,18,3,9,Mok,Kai Ming,FICT,DCCT,male
2,19,1,4,Yong,Tien Fui,FICT,DIS,male
20,50,4,23,Amin,Aamir,FICT,DIS,male
37,62,6,26,Akbar,Rehan,FICT,DIS,male
11,33,2,23,Khor,Siak Wang,FICT,DIS,male
4,1,1,6,Goh,Hoong Cheng,FICT,DIS,male
32,238,8,47,Goh,Hock Guan,FICT,DCCT,male
10,27,3,8,Gan,Ming Lee,FICT,DCCT,male
10,17,3,21,Annur,Robithoh,FICT,DCCT,female
30,56,4,35,Rehman,Mobashar,FICT,DIS,male
9,32,3,10,Sangodiah,Anbuselvan,FICT,DIS,male
5,7,1,11,Teoh,Shen Khang,FICT,DCCT,male
3,4,1,10,Lim,Jit Theam,FICT,DIS,male
3,13,3,8,Choo,Peng Yin,FICT,DIS,male
4,13,3,11,Phan,Koo Yuen,FICT,DCS,male
4,4,1,16,Leong,Chun Farn,FICT,DCCT,male
4,9,2,11,Jalil,Norazira,FICT,DIS,female
5,1,1,7,Chan,Lee Kwun,FICT,DIS,female
17,22,3,26,Muniandy,Manoranjitham,FICT,DCS,female
4,16,1,3,Chang,Jing Jing,FICT,DCCT,female
7,23,2,23,Saw,Seow Hui,FICT,DCS,female
5,20,3,1,Lee,Chen Kang,FICT,DIS,male
4,4,1,5,Aun,Yichiet,FICT,DCCT,male
5,1,1,8,Ismail,Sarerusaenye,FICT,DIS,female
5,3,1,10,Tan,Joi San,FICT,DCS,female
3,13,3,8,Lim,Ean Heng,FICT,DIS,male
2,2,1,3,Ooi,Joo On,FICT,DCCT,male
4,7,2,7,Ku,Chin Soon,FICT,DCS,male
9,13,2,9,Lim,Seng Chee,FICT,DIS,male
5,14,1,10,Cheng,Wai Khuen,FICT,DCS,male
